layer_idx,neuron_idx
19,770
12,771
18,2669
13,668
16,255
12,882
19,1438
8,2854
3,3680
14,1958
13,2258
11,1550
10,3477
0,2352
3,3742
11,4021
11,175
19,3341
16,603
11,2617
8,3200
19,2312
20,3210
12,3413
6,3972
0,3393
15,4051
13,3243
10,628
15,3116
19,505
1,1342
14,883
7,3688
17,3162
1,572
2,2822
19,1402
18,2062
21,2876
17,3922
10,2767
14,2726
19,955
2,4047
20,2953
18,2757
1,953
1,301
17,368
16,3941
6,3202
15,3593
7,688
10,3270
8,3473
5,2259
14,1866
23,2106
8,2986
9,1581
10,668
21,566
21,441
17,3704
0,2816
22,4077
23,1673
15,539
1,3907
21,1136
20,2780
1,2294
15,1517
1,2803
9,2178
18,2982
18,472
14,942
8,594
9,2451
2,1277
20,3256
16,1800
2,2449
21,2342
22,3838
21,3774
22,1118
22,167
11,1403
13,155
8,3918
2,2073
12,3723
11,3386
14,3203
23,1803
15,739
8,2259
2,3430
19,2726
21,540
15,3847
5,1645
8,1612
18,430
8,1669
0,783
18,3923
22,1512
17,3023
17,3336
17,359
17,346
18,2511
23,505
14,391
2,3705
9,1980
21,2501
14,1605
11,2002
17,74
12,774
18,1718
7,2194
9,1937
23,500
1,629
15,1317
10,808
5,1539
23,1816
7,183
11,778
1,2233
0,1254
7,2648
2,3793
14,3398
0,2275
14,1891
10,1015
0,2494
1,3778
8,2343
16,2913
8,903
19,2006
1,2059
2,2998
9,1102
7,1475
10,1865
1,2091
15,701
20,468
2,4017
13,3040
10,1099
1,3557
7,3301
15,2579
18,3721
9,3859
1,3850
23,1295
1,3230
17,3933
8,1013
15,3543
3,3589
8,344
22,845
8,1282
2,3553
18,3041
19,3799
21,474
10,896
9,3754
10,3392
13,1292
20,788
23,3034
12,1037
2,3500
8,861
13,1250
10,2053
1,3841
16,1291
19,3244
19,1931
0,2937
21,3088
2,2732
23,1664
8,4058
16,1282
13,3301
17,3158
22,1406
2,965
5,177
23,1029
2,270
8,1204
2,1968
20,3469
13,3991
1,2534
15,1713
20,2946
14,1223
13,33
6,863
7,1833
23,4035
2,2253
14,2365
18,2842
13,3599
6,1619
1,1314
14,3680
2,3366
2,1196
3,955
23,4069
1,227
1,3731
2,609
13,3950
19,1430
22,2144
4,2590
16,1850
3,3461
19,3943
1,1007
21,1261
20,2597
14,2802
2,2827
14,172
22,3556
8,1058
16,2227
1,3786
7,723
22,18
2,2972
9,1513
17,2120
1,2319
2,2820
9,3610
6,3723
22,3468
13,3281
12,3707
6,2337
12,3289
2,173
11,466
16,2979
21,2318
20,539
2,106
1,3042
20,3384
15,3295
11,3908
11,1227
1,3243
18,3606
12,372
20,3435
15,620
8,954
2,2243
17,2444
4,860
18,3981
1,2811
21,2388
17,1195
7,2659
20,4037
2,3830
19,2985
20,1349
5,2806
20,1431
4,2567
12,3229
19,2127
1,2471
9,2402
1,3646
2,1963
22,706
1,590
13,3430
10,2781
13,898
10,986
3,866
2,320
1,2243
14,909
11,3152
2,1975
21,1547
2,1367
1,97
8,1225
11,954
20,1361
17,3669
13,1699
22,804
4,3719
1,3734
1,536
1,2010
22,3938
8,2172
1,467
8,389
16,378
17,1314
23,1494
8,3696
20,2238
23,3714
14,749
19,1047
15,1219
1,3574
23,3094
15,1922
3,1498
23,2234
18,1971
7,830
9,3851
13,2481
9,2953
2,1768
3,2103
17,132
15,510
7,2266
13,3248
3,1233
10,1102
12,2356
2,2654
2,949
2,1169
2,956
14,1608
3,1459
8,19
7,383
2,1102
1,1147
22,2597
1,1658
1,3943
3,3062
2,668
3,1197
8,3802
9,4060
11,2803
16,2278
20,174
5,943
8,440
11,3676
16,3541
17,305
1,53
19,500
2,3019
1,2165
14,65
22,3172
19,2811
6,505
16,521
8,1781
14,3089
3,1463
19,1600
12,2251
19,266
10,3620
3,1830
10,1488
1,1841
11,3667
23,2040
2,3868
10,3184
2,3918
2,3486
18,241
2,1910
1,212
6,2348
16,339
1,3409
14,2725
20,3958
7,3769
0,1958
8,4022
14,1474
11,1421
19,1350
13,1596
10,3314
7,849
14,2066
1,1802
13,2797
8,3100
19,1207
17,2442
12,4
2,1241
12,2227
1,3333
14,2169
16,3810
16,3442
14,1119
11,3436
16,552
2,1273
20,695
12,693
18,1031
18,1288
1,3858
23,638
6,4060
1,940
2,2436
21,1179
15,940
0,361
17,1346
2,2950
2,3759
3,2394
22,2093
22,739
12,2721
11,950
16,3118
9,3415
19,489
2,2669
2,2423
22,268
2,1007
9,1546
7,2766
20,1875
21,1284
1,1931
18,2795
2,1646
8,3535
20,562
18,3647
20,2153
14,577
8,877
1,2574
15,1621
23,3454
2,2187
2,2665
15,3713
19,897
18,3267
2,2662
10,412
6,463
23,3202
2,3396
16,3664
2,812
15,2000
8,1652
20,2893
2,2064
2,1260
19,3782
2,1568
16,1268
10,2148
9,736
11,2556
0,3970
23,1054
10,1362
2,1502
