layer_idx,neuron_idx,dpo_projection_value,dpo_activation_value
1,7167,,
6,7511,,
1,751,,
4,7438,,
6,1095,,
9,7782,,
4,1022,,
9,1366,,
25,1899,,
0,3532,0.00029349327087402344,0.0433349609375
22,5011,,
1,4134,,
25,5282,,
21,7792,,
0,6915,0.00012922286987304688,0.0228271484375
16,1032,,
21,1376,,
0,499,7.569789886474609e-06,0.003917694091796875
17,3886,,
22,8394,,
22,1978,,
25,8665,,
25,2249,,
11,4071,,
16,4415,,
21,4759,,
12,6925,,
17,7269,,
7,165,,
12,509,,
17,853,,
8,3019,,
13,3363,,
11,7454,,
16,7798,,
21,8142,,
11,1038,,
16,1382,,
2,3204,,
7,3548,,
12,3892,,
17,4236,,
3,6058,,
8,6402,,
13,6746,,
13,330,,
11,4421,,
2,6587,,
7,6931,,
12,7275,,
2,171,,
7,515,,
3,3025,,
8,3369,,
23,4431,,
2,3554,,
19,6941,,
24,7285,,
3,6408,,
19,525,,
24,869,,
20,3379,,
18,7470,,
23,7814,,
18,1054,,
23,1398,,
14,3564,,
19,3908,,
24,4252,,
10,6074,,
15,6418,,
20,6762,,
15,2,,
20,346,,
18,4437,,
23,4781,,
9,2439,,
14,6947,,
19,7291,,
14,531,,
19,875,,
5,9113,,
5,2697,,
10,3041,,
15,3385,,
20,3729,,
1,5207,,
6,5551,,
4,5478,,
9,5822,,
14,3914,,
0,1572,0.0002570152282714844,-0.0170135498046875
5,6080,,
10,6424,,
10,8,,
1,8590,,
6,8934,,
1,2174,,
4,8861,,
6,2518,,
9,9205,,
4,2445,,
9,2789,,
0,4955,4.9233436584472656e-05,-0.02532958984375
5,3047,,
22,6434,,
1,5557,,
22,18,,
25,6705,,
4,5828,,
25,289,,
0,8338,7.551908493041992e-05,-0.0169830322265625
21,2799,,
0,1922,-7.557868957519531e-05,0.00921630859375
22,3401,,
25,3672,,
16,5838,,
21,6182,,
17,8692,,
12,1932,,
17,2276,,
22,6784,,
25,7055,,
13,4786,,
11,8877,,
11,2461,,
16,2805,,
21,3149,,
7,4971,,
12,5315,,
17,5659,,
8,7825,,
13,8169,,
3,1065,,
8,1409,,
13,1753,,
11,5844,,
16,6188,,
2,8010,,
7,8354,,
12,8698,,
2,1594,,
7,1938,,
12,2282,,
17,9042,,
3,4448,,
8,4792,,
13,5136,,
23,5854,,
2,4977,,
7,5321,,
24,8708,,
3,7831,,
8,8175,,
24,2292,,
3,1415,,
18,8893,,
18,2477,,
23,2821,,
14,4987,,
19,5331,,
24,5675,,
15,7841,,
20,8185,,
15,1425,,
20,1769,,
18,5860,,
23,6204,,
14,8370,,
19,8714,,
24,9058,,
14,1954,,
19,2298,,
24,2642,,
5,4120,,
10,4464,,
15,4808,,
20,5152,,
6,6974,,
6,558,,
9,7245,,
4,485,,
9,829,,
14,5337,,
5,7503,,
10,7847,,
15,8191,,
5,1087,,
10,1431,,
15,1775,,
1,3597,,
6,3941,,
4,3868,,
9,4212,,
0,6378,-0.00014066696166992188,-0.022430419921875
5,4470,,
1,6980,,
6,7324,,
22,1441,,
1,564,,
4,7251,,
6,908,,
9,7595,,
4,835,,
25,1712,,
0,3345,0.000286102294921875,0.07879638671875
22,4824,,
25,5095,,
21,7605,,
0,6728,-0.00024175643920898438,0.031585693359375
16,845,,
21,1189,,
17,3699,,
22,8207,,
22,1791,,
25,8478,,
25,2062,,
11,3884,,
16,4228,,
21,4572,,
12,6738,,
17,7082,,
12,322,,
17,666,,
8,2832,,
13,3176,,
11,7267,,
16,7611,,
21,7955,,
11,851,,
16,1195,,
2,3017,,
7,3361,,
12,3705,,
17,4049,,
3,5871,,
8,6215,,
13,6559,,
13,143,,
11,4234,,
2,6400,,
7,6744,,
12,7088,,
7,328,,
3,2838,,
8,3182,,
18,3900,,
23,4244,,
2,3367,,
19,6754,,
24,7098,,
3,6221,,
19,338,,
24,682,,
20,3192,,
18,7283,,
23,7627,,
18,867,,
23,1211,,
14,3377,,
19,3721,,
24,4065,,
10,5887,,
15,6231,,
20,6575,,
20,159,,
18,4250,,
9,2252,,
14,6760,,
19,7104,,
14,344,,
19,688,,
5,8926,,
5,2510,,
10,2854,,
15,3198,,
20,3542,,
1,5020,,
6,5364,,
4,5291,,
9,5635,,
0,1385,-0.00010341405868530273,-0.01340484619140625
5,5893,,
10,6237,,
1,8403,,
6,8747,,
1,1987,,
4,8674,,
6,2331,,
9,9018,,
4,2258,,
9,2602,,
0,4768,-0.0007128715515136719,-0.0638427734375
22,6247,,
1,5370,,
25,6518,,
4,5641,,
25,102,,
0,8151,-0.00014090538024902344,0.0173797607421875
21,2612,,
0,1735,-5.042552947998047e-05,-0.0223846435546875
22,3214,,
25,3485,,
16,5651,,
21,5995,,
17,8505,,
12,1745,,
17,2089,,
22,6597,,
25,6868,,
13,4599,,
11,8690,,
16,9034,,
11,2274,,
16,2618,,
21,2962,,
7,4784,,
12,5128,,
17,5472,,
8,7638,,
13,7982,,
3,878,,
8,1222,,
13,1566,,
11,5657,,
16,6001,,
2,7823,,
7,8167,,
12,8511,,
2,1407,,
7,1751,,
12,2095,,
17,8855,,
3,4261,,
8,4605,,
13,4949,,
23,5667,,
2,4790,,
7,5134,,
24,8521,,
3,7644,,
24,2105,,
3,1228,,
18,8706,,
23,9050,,
18,2290,,
23,2634,,
14,4800,,
19,5144,,
24,5488,,
15,7654,,
20,7998,,
15,1238,,
20,1582,,
18,5673,,
23,6017,,
14,8183,,
19,8527,,
24,8871,,
14,1767,,
19,2111,,
24,2455,,
5,3933,,
10,4277,,
15,4621,,
20,4965,,
18,9056,,
6,6787,,
6,371,,
9,7058,,
4,298,,
9,642,,
14,5150,,
5,7316,,
10,7660,,
15,8004,,
5,900,,
10,1244,,
15,1588,,
1,3410,,
6,3754,,
4,3681,,
9,4025,,
0,6191,-0.0002765655517578125,-0.045867919921875
5,4283,,
1,6793,,
6,7137,,
22,1254,,
1,377,,
4,7064,,
6,721,,
9,7408,,
4,648,,
25,1525,,
25,7941,,
0,3158,-5.310773849487305e-05,-0.007415771484375
22,4637,,
25,4908,,
16,7074,,
21,7418,,
